estimator,budget,ranks,timed_repeats,support_size,external_edges,external_unique,total_sec,total_sec_std,external_sec,external_sec_std,internal_sec,edge_generation_sec,support_lookup_sec,retained_projection_sec,external_staging_sec,report_assembly_sec,postprocess_sec,external_E2,external_E2_standard_error,delta_vs_exact_mha,delta_vs_exact_standard_errors,reduce_sec,reduce_local_transform_sec,reduce_route_prepare_sec,reduce_communication_sec,reduce_finalize_sec,countsketch_update_sec,countsketch_allreduce_sec,communication_bytes_per_rank,peak_device_allocated_bytes,peak_device_reserved_bytes,peak_host_rss_bytes,exchange_layout,edges_per_sec,speedup,parallel_efficiency
exact,100000,4,3,100200,360433513,135154646,6.236528635025024,0.10127816237777726,5.953261613845825,0.11243492311173746,0.04301762580871582,2.7401537895202637,0.4947223663330078,0.25225114822387695,1.3680825233459473,1.8596649169921875e-05,0.21378087997436523,-0.021368910714938058,0.0,0.0,0.0,1.0878522396087646,0.48554491996765137,0.07889056205749512,0.07274556159973145,0.45086121559143066,nan,nan,2406872568,8777411584,15095300096,14020096000,hierarchical_node,57793932.184607655,3.7820342743914006,0.9455085685978502
exact,100000,8,3,100200,360433513,135154646,3.488474130630493,0.046837461115495506,3.3518593311309814,0.012129971759928656,0.015707015991210938,1.5255911350250244,0.26851916313171387,0.15882062911987305,0.767681360244751,1.5020370483398438e-05,0.13146138191223145,-0.021368910714938,0.0,0.0,0.0,0.6183311939239502,0.2676520347595215,0.04224967956542969,0.06945228576660156,0.2385270595550537,nan,nan,1267777124,4865745920,8204058624,8201895936,hierarchical_node,103321251.49939314,6.7613415400690045,0.8451676925086256
exact,100000,12,3,100200,360433513,135154646,2.294926166534424,0.022764125834937254,2.1814358234405518,0.024795272525854797,0.01211237907409668,0.9620001316070557,0.16919183731079102,0.11726593971252441,0.47827768325805664,1.3828277587890625e-05,0.10826921463012695,-0.021368910714938058,0.0,0.0,0.0,0.46639251708984375,0.16789746284484863,0.029736042022705078,0.10790205001831055,0.15913152694702148,nan,nan,905032082,3345093632,5653921792,6401359872,hierarchical_node,157056692.39210948,10.277788189807657,0.856482349150638
exact,100000,16,3,100200,360433513,135154646,1.9818453788757324,0.00874082476184684,1.8802456855773926,0.009269322073588887,0.10911440849304199,0.8056662082672119,0.13723373413085938,0.08390951156616211,0.38486814498901367,1.3589859008789062e-05,0.1004328727722168,-0.021368910714938,0.0,0.0,0.0,0.4621739387512207,0.13341999053955078,0.02258133888244629,0.0817880630493164,0.2263777256011963,nan,nan,691443210,2653109248,4466933760,4646899712,hierarchical_node,181867625.41710892,11.901415368876274,0.7438384605547671
countsketch,300000,4,3,298352,1066823692,-1,16.665440320968628,0.010100044140626183,16.655455350875854,0.010075469306329814,0.014100074768066406,8.160939455032349,1.4515345096588135,0.9391903877258301,3.9156618118286133,1.6450881958007812e-05,1.1205673217773438e-05,-0.01949361152899061,3.1739804731033074e-05,0.009607877909760532,0.3027075305339414,2.042609453201294,1.8794548511505127,0.0,0.13905787467956543,0.008672475814819336,0.6832752227783203,0.13905787467956543,16777216,857181184,1168113664,31671095296,fixed_allreduce,64014131.727303445,1.0,1.0
countsketch,300000,8,3,298352,1066823692,-1,9.565707683563232,0.10280839483486509,9.557985782623291,0.03848326553970721,0.012245893478393555,4.695235252380371,0.8831286430358887,0.5786073207855225,2.255002737045288,1.4543533325195312e-05,1.4066696166992188e-05,-0.01949361152899095,3.173980473099299e-05,0.009607877909795226,0.30270753053541677,1.0593984127044678,0.9802641868591309,0.0,0.07397007942199707,0.00519561767578125,0.33679771423339844,0.07397007942199707,16777216,857181184,1170210816,17036439552,fixed_allreduce,111525851.2272045,1.7422067318244394,0.8711033659122197
countsketch,300000,12,3,298352,1066823692,-1,5.938889265060425,0.05902707068481216,5.865350961685181,0.060516482251064235,0.07583189010620117,2.855607271194458,0.5408132076263428,0.36318516731262207,1.4086503982543945,1.9311904907226562e-05,1.2636184692382812e-05,-0.019493611528990942,3.173980473102225e-05,0.009607877909750123,0.3027075305337167,0.705059289932251,0.6332113742828369,0.0,0.06795597076416016,0.0038919448852539062,0.22485566139221191,0.06795597076416016,16777216,857181184,1172307968,12259074048,fixed_allreduce,179633538.25711477,2.8061544132527394,0.9353848044175798
countsketch,300000,16,3,298352,1066823692,-1,5.304721355438232,0.12218737264836592,5.167537689208984,0.022431134064284375,0.14246797561645508,2.2966740131378174,0.4506709575653076,0.2945253849029541,1.1419248580932617,1.71661376953125e-05,1.6927719116210938e-05,-0.019493611528990984,3.17398047309891e-05,0.00960787790970849,0.3027075305327211,0.9596676826477051,0.4920186996459961,0.0,0.4668262004852295,0.003488302230834961,0.1685788631439209,0.46710944175720215,16777216,857181184,1176502272,9671864320,fixed_allreduce,201108337.36937496,3.141624074916536,0.785406018729134
exact,300000,4,3,298352,1066823692,358999436,18.277138710021973,0.08315526500927212,17.75078010559082,0.08213791286648059,0.037516117095947266,8.263831377029419,1.4889094829559326,0.8553812503814697,4.002434015274048,3.528594970703125e-05,0.5156137943267822,-0.01950321940690037,0.0,0.0,0.0,3.0636136531829834,1.4454345703125,0.20924687385559082,0.1171407699584961,1.2143275737762451,nan,nan,6429255088,23404734464,38900072448,37042786304,hierarchical_node,58369294.50095077,1.0,1.0
exact,300000,8,3,298352,1066823692,358999436,10.36825942993164,0.012050843561919154,10.061221361160278,0.01168591174496403,0.02338886260986328,4.712082624435425,0.8909680843353271,0.5317285060882568,2.2853200435638428,1.9550323486328125e-05,0.2992880344390869,-0.019503219406900744,0.0,0.0,0.0,1.64223313331604,0.789820671081543,0.11285710334777832,0.11133098602294922,0.63016676902771,nan,nan,3384572052,12940453888,22405971968,19620511744,hierarchical_node,102893229.0139497,1.7627972017423252,0.8813986008711626
exact,300000,12,3,298352,1066823692,358999436,6.818255662918091,0.07917981037449319,6.520505428314209,0.08499010517881456,0.11377286911010742,2.8725674152374268,0.5438687801361084,0.3612673282623291,1.430100679397583,1.6689300537109375e-05,0.21171331405639648,-0.019503219406900692,0.0,0.0,0.0,1.2754955291748047,0.48764824867248535,0.07297396659851074,0.2815418243408203,0.4189887046813965,nan,nan,2435615704,9130018304,15388901376,14068195328,hierarchical_node,156465780.21443957,2.6806179782058344,0.8935393260686114
exact,300000,16,3,298352,1066823692,358999436,6.571125507354736,0.8501947075175509,6.312090635299683,0.8413599604233186,0.2174816131591797,2.322676181793213,0.4619290828704834,0.2263965606689453,1.4677975177764893,1.9550323486328125e-05,0.18779373168945312,-0.019503219406900692,0.0,0.0,0.0,2.124995470046997,0.3945138454437256,0.05650782585144043,0.66872239112854,1.0108294486999512,nan,nan,1852960094,7071359488,11886657536,11075358720,hierarchical_node,162350223.07912958,2.781431992063654,0.6953579980159135
